registration_id,email,first_name,last_name,phone,birthdate,parent_email,assigned_role,team_name,age_group,fee_amount,payment_status,gear_item,gear_size,gear_quantity,registered_at
5001,marcus.martinez70@yahoo.com,Marcus,Martinez,555-7458,1987-12-13,,parent,U12 Lightning,U12,20.00,unpaid,Shorts,S,1,2026-06-01 09:18:00
5002,grace.rodriguez38@corp.io,Grace,Rodriguez,555-6115,2018-06-13,parent_rodriguez@corp.io,player,U10 Storm,U10,20.00,paid,Socks,M,1,2026-06-03 15:10:00
5003,ava.smith47@yahoo.com,Ava,Smith,555-3334,2014-05-16,parent_smith@corp.io,player,U14 Cobras,U14,60.00,partial,Shorts,M,3,2026-06-16 09:32:00
5004,william.davis50@corp.io,William,Davis,555-2110,1977-07-10,,coach,U10 Storm,U10,20.00,unpaid,Cleats,M,1,2026-06-07 17:36:00
5005,oliver.rodriguez71@yahoo.com,Oliver,Rodriguez,555-1578,1985-07-18,,coach,U10 Storm,U10,20.00,unpaid,Socks,M,1,2026-06-27 12:59:00
5006,olivia.brodie69@hotmail.com,Olivia,Brodie,555-6187,1991-06-03,,volunteer,U12 Lightning,U12,20.00,partial,Socks,S,1,2026-06-30 11:12:00
5007,oliver.hopper32@yahoo.com,Oliver,Hopper,555-7675,2013-11-29,parent_hopper@corp.io,player,U12 Bears,U12,20.00,paid,Shorts,L,2,2026-06-14 10:13:00
5008,noah.brown48@gmail.com,Noah,Brown,555-4682,1983-03-21,,coach,U10 Storm,U10,25.00,unpaid,Jersey,L,1,2026-06-14 08:11:00
5009,sophia.brown98@gmail.com,Sophia,Brown,555-9129,2012-10-20,parent_brown@corp.io,player,U14 Eagles,U14,25.00,unpaid,Jersey,XL,1,2026-06-11 11:27:00
5010,emma.hopper76@corp.io,Emma,Hopper,555-8288,2016-03-01,parent_hopper@outlook.com,player,U10 Storm,U10,20.00,paid,Shorts,M,1,2026-06-09 12:13:00
5011,grace.johnson68@yahoo.com,Grace,Johnson,555-6647,1985-10-02,,parent,U10 Tigers,U10,25.00,partial,Jersey,XL,1,2026-06-23 16:33:00
5012,ava.brodie8@gmail.com,Ava,Brodie,555-6417,2018-04-26,parent_brodie@yahoo.com,player,U10 Tigers,U10,25.00,partial,Jersey,L,1,2026-06-02 16:00:00
5013,liam.garcia22@outlook.com,Liam,Garcia,555-4479,1988-07-09,,coach,U14 Eagles,U14,20.00,unpaid,Cleats,S,2,2026-06-07 08:00:00
5014,grace.rodriguez54@gmail.com,Grace,Rodriguez,555-4141,1978-07-16,,coach,U14 Eagles,U14,30.00,paid,Socks,S,2,2026-06-06 11:07:00
5015,william.davis16@outlook.com,William,Davis,555-5122,1994-06-08,,coach,U12 Lightning,U12,100.00,partial,Cleats,YL,5,2026-06-29 11:06:00
5016,james.martinez75@corp.io,James,Martinez,555-6158,1973-07-22,,volunteer,U14 Cobras,U14,45.00,partial,Socks,YM,3,2026-06-03 17:01:00
5017,alex.williams15@yahoo.com,Alex,Williams,555-7998,2010-03-03,parent_williams@yahoo.com,player,U12 Lightning,U12,20.00,paid,Socks,L,1,2026-06-12 13:36:00
5018,sophia.oakley50@hotmail.com,Sophia,Oakley,555-8655,1974-05-10,,coach,U12 Bears,U12,15.00,unpaid,Cleats,YM,1,2026-06-03 13:03:00
5019,ava.johnson8@gmail.com,Ava,Johnson,555-6652,1976-03-18,,coach,U10 Tigers,U10,10.00,paid,Shorts,S,1,2026-06-17 08:49:00
5020,olivia.oakley49@hotmail.com,Olivia,Oakley,555-3003,1981-02-03,,volunteer,U12 Lightning,U12,15.00,paid,Socks,YS,1,2026-06-09 08:22:00
5021,ava.davis65@yahoo.com,Ava,Davis,555-4821,1978-07-12,,parent,U10 Tigers,U10,25.00,partial,Jersey,L,1,2026-06-01 08:35:00
5022,alex.williams90@outlook.com,Alex,Williams,555-8522,1970-10-29,,parent,U10 Tigers,U10,10.00,unpaid,Shorts,S,1,2026-06-17 13:27:00
5023,emma.brown16@gmail.com,Emma,Brown,555-8830,1991-01-09,,parent,U12 Lightning,U12,10.00,paid,Socks,YL,1,2026-06-29 14:04:00
5024,grace.miller21@yahoo.com,Grace,Miller,555-5115,2014-03-10,parent_miller@corp.io,player,U14 Cobras,U14,20.00,partial,Cleats,YS,1,2026-06-29 12:58:00
5025,sarah.martinez67@corp.io,Sarah,Martinez,555-2637,1972-09-28,,parent,U10 Tigers,U10,40.00,unpaid,Socks,S,2,2026-06-11 13:04:00
5026,oliver.rodriguez13@corp.io,Oliver,Rodriguez,555-9418,2016-11-04,parent_rodriguez@outlook.com,player,U12 Bears,U12,20.00,paid,Shorts,L,1,2026-06-20 14:58:00
5027,ava.williams13@gmail.com,Ava,Williams,555-4956,1993-08-26,,parent,U12 Bears,U12,15.00,paid,Cleats,S,1,2026-06-17 10:48:00
5028,sophia.johnson22@outlook.com,Sophia,Johnson,555-6275,1991-10-31,,coach,U14 Eagles,U14,30.00,unpaid,Shorts,YS,2,2026-06-23 10:52:00
5029,alex.oakley79@hotmail.com,Alex,Oakley,555-8418,1970-01-14,,volunteer,U10 Tigers,U10,15.00,partial,Shorts,XL,1,2026-06-07 08:46:00
5030,timmy.miller22@outlook.com,Timmy,Miller,555-3831,2015-03-03,parent_miller@corp.io,player,U10 Storm,U10,20.00,unpaid,Cleats,XL,2,2026-06-26 10:32:00
5031,alex.brown86@yahoo.com,Alex,Brown,555-5233,1974-10-19,,parent,U12 Bears,U12,20.00,paid,Socks,S,1,2026-06-18 10:32:00
5032,daniel.johnson75@outlook.com,Daniel,Johnson,555-5388,1973-06-10,,volunteer,U14 Cobras,U14,30.00,unpaid,Shorts,XL,2,2026-06-02 14:58:00
5033,liam.vance89@corp.io,Liam,Vance,555-7622,1993-07-21,,parent,U14 Cobras,U14,45.00,unpaid,Socks,L,3,2026-06-07 08:19:00
5034,marcus.oakley5@yahoo.com,Marcus,Oakley,555-6808,1977-10-17,,volunteer,U12 Lightning,U12,10.00,paid,Socks,YM,1,2026-06-19 10:43:00
5035,olivia.davis70@gmail.com,Olivia,Davis,555-9643,1984-03-04,,coach,U12 Bears,U12,25.00,partial,Jersey,YL,1,2026-06-05 14:13:00
5036,james.hopper17@gmail.com,James,Hopper,555-8014,1973-09-06,,coach,U14 Eagles,U14,10.00,unpaid,Shorts,XL,1,2026-06-26 13:28:00
5037,emma.hopper77@outlook.com,Emma,Hopper,555-7210,1994-05-14,,parent,U14 Eagles,U14,20.00,unpaid,Socks,YM,2,2026-06-11 12:14:00
5038,daniel.martinez87@hotmail.com,Daniel,Martinez,555-8789,2010-05-10,parent_martinez@yahoo.com,player,U12 Bears,U12,30.00,partial,Socks,S,3,2026-06-25 09:26:00
5039,ava.brown77@outlook.com,Ava,Brown,555-6278,1977-05-25,,parent,U10 Tigers,U10,30.00,partial,Cleats,YS,2,2026-06-01 14:20:00
5040,olivia.johnson97@hotmail.com,Olivia,Johnson,555-8970,2018-01-07,parent_johnson@corp.io,Player,U12 Bears,U12,10.00,partial,Socks,S,1,2026-06-09 09:18:00
5041,ava.jones25@outlook.com,Ava,Jones,555-4701,1986-03-17,,coach,U14 Eagles,U14,50.00,paid,Jersey,YL,2,2026-06-28 08:21:00
5042,james.brodie64@hotmail.com,James,Brodie,555-4854,1990-10-02,,parent,U10 Tigers,U10,15.00,unpaid,Cleats,XL,1,2026-06-01 11:28:00
